Person_ID,Full_Name,Generation,Chart_Display_Name,Chart_Birth_Info,Chart_Death_Info,Father_ID,Mother_ID,Spouse_ID,Chart_Marriage_Info,Primary_URL,Notes,Tree_Connection
G0_ME,Mary Elizabeth Pope,0,Mary Elizabeth Pope,"b. 1773, NC","d. 1831, AL",G1_FATHER,G1_MOTHER,G0_SPOUSE,"m. 1792, NC",https://www.wikitree.com/wiki/Pope-1042,,
G0_SPOUSE,Henry Powell,0,Henry W. Powell,"b. ~1767, NC","d. ~1840, AL",,,G0_ME,"m. 1792, NC",https://www.wikitree.com/wiki/Powell-2593,,
G1_FATHER,William Pope,1,William Pope,"b. 1733, NC","d. 1818, NC",G2_PATERNAL_GF,,G1_MOTHER,"m. 1764, NC",https://www.wikitree.com/wiki/Pope-4351,,
G1_MOTHER,Ann Woodward,1,Ann Woodward,"b. 1745, NC","d. 1818, NC",G2_MATERNAL_GF,,G1_FATHER,"m. 1764, NC",https://www.wikitree.com/wiki/Woodard-1954,,
G2_PATERNAL_GF,William Pope,2,William Pope,"b. ~1685, VA","d. ~1749, NC",G3_POPE_GGF,G3_WATTS_GGM,,,https://www.wikitree.com/wiki/Pope-7337,,
G2_MATERNAL_GF,Thomas Woodard,2,Thomas Woodard,"b. ~1720, NC","d. ~1791, NC",,,,,https://www.wikitree.com/wiki/Woodard-1955,,
G3_POPE_GGF,Henry Pope,3,Henry Pope,"b. 1664, VA","d. 1728, VA",G4_POPE_GGGF,G4_UNKNOWN_GGGM,G3_WATTS_GGM,,https://www.wikitree.com/wiki/Pope-755,,
G3_WATTS_GGM,Sarah Watts,3,Sarah Watts,"b. ~1664, VA","d. 1730, VA",G4_WATTS_GGGF,G4_ENGLISH_GGGM,G3_POPE_GGF,,https://www.wikitree.com/wiki/Watts-1211,,
G4_POPE_GGGF,William Pope,4,William Pope,"b. ~1634, England","d. ~1708, VA",,,G4_UNKNOWN_GGGM,,https://www.wikitree.com/wiki/Pope-1817,,
G4_UNKNOWN_GGGM,Marie,4,Marie,b. England,d. ,,,G4_POPE_GGGF,,https://www.wikitree.com/wiki/Pope-1817,,
G4_WATTS_GGGF,John Watts,4,John Watts,"b. ~1625, England or VA","d. 1697, VA",G5_WATTS_GGGGF,G5_UNKNOWN5_GGGGM,G4_ENGLISH_GGGM,m. 1663,https://www.wikitree.com/wiki/Watts-3094,,
G4_ENGLISH_GGGM,Alice English,4,Alice English,"b. ~1630, VA","d. ~1678, VA",G5_ENGLISH_GGGGF,G5_UNKNOWN4_GGGGM,G4_WATTS_GGGF,,https://www.wikitree.com/wiki/English-1316,,
G5_ENGLISH_GGGGF,John English,5,John English,"b. 1612, England","d. ~1678, VA",,,G5_UNKNOWN4_GGGGM,"m. 1634, England",https://www.wikitree.com/wiki/English-2396,,
G5_UNKNOWN4_GGGGM,Frances,5,Frances,"b. ~1614, England","d. ~1675, VA",,,G5_ENGLISH_GGGGF,"m. 1634,England",https://www.wikitree.com/wiki/Watts-3094,,
G5_WATTS_GGGGF,Thomas Watts,5,Thomas Watts,"b. ~1607, VA",d. ,,,G5_UNKNOWN5_GGGGM,,https://www.wikitree.com/wiki/Watts-3094,,
G5_UNKNOWN5_GGGGM,Jane,5,Jane,b. ~1610,d. ,,,G5_WATTS_GGGGF,,,,
