Person_ID,Full_Name,Generation,Chart_Display_Name,Chart_Birth_Info,Chart_Death_Info,Father_ID,Mother_ID,Spouse_ID,Chart_Marriage_Info,Primary_URL,Notes,Tree_Connection
G0_ME,Millicent Dunn,0,Millicent Dunn,"b. ~1746, VA","d. ~1820, GA",G1_FATHER,G1_MOTHER,G0_SPOUSE,m. 1764,https://www.wikitree.com/wiki/Dunn-1110,,
G0_SPOUSE,William Satterwhite,0,William Satterwhite,"b. ~1733, VA ","d. ~1805, GA",,,G0_ME,m. 1764,https://www.wikitree.com/wiki/Satterwhite-248,,
G1_FATHER,Waters Dunn,1,Waters Dunn,"b. 1725, VA","d. 1803, GA",G2_PATERNAL_GF,G2_PATERNAL_GM,G1_MOTHER,m. ~1744,https://www.wikitree.com/wiki/Dunn-4072,,
G1_MOTHER,Sarah Ann Gatewood,1,Sarah Ann Gatewood,"b. ~1728, VA","d. 1785, VA",G2_MATERNAL_GF,G2_MATERNAL_GM,G1_FATHER,m. ~1744,https://www.wikitree.com/wiki/Gatewood-229,,
G2_PATERNAL_GF,William Dunn,2,William Dunn,"b. ~1705, VA","d. ~1767, VA",G3_DUNN_GGF,G3_GRAY_GGM,G2_PATERNAL_GM,"m. ~1725, va",https://www.wikitree.com/wiki/Dunn-870,,
G2_PATERNAL_GM,Winifred Waters,2,Winifred Waters,"b. ~1704, VA","d. ~1793, VA",,,G2_PATERNAL_GF,"m. ~1725, va",https://www.wikitree.com/wiki/Waters-545,,
G2_MATERNAL_GF,Richard Gatewood,2,Richard Gatewood,"b. ~1681, VA","d. ~1730, VA",G3_GATEWOOD_GGF,G3_MARGRAH_GGM,G2_MATERNAL_GM,m. ~1712,https://www.wikitree.com/wiki/Gatewood-75,,
G2_MATERNAL_GM,Patience Reeves,2,Patience Reeves,"b. ~1695, VA","d. ~1745, VA",G3_REEVES_GGF,G3_LEE_GGM,G2_MATERNAL_GF,m. ~1712,https://www.wikitree.com/wiki/Reeves-784,,
G3_DUNN_GGF,William Dunn,3,William Dunn,"b. 1668, VA","d. 1732, VA",,,G3_GRAY_GGM,m. 1688,https://www.wikitree.com/wiki/Dunn-871,,
G3_GRAY_GGM,Alice Gray,3,Alice Gray,"b. ~1670, VA","d. ~1732, VA",,,G3_DUNN_GGF,m. 1688,https://www.wikitree.com/wiki/Gray-1448,"Father may be William Grey (b. 1650, England, d. VA). Mother may be Mary Elizabeth Jarrett (b. before 1624, d. after 1670)",
G3_GATEWOOD_GGF,John Gatewood,3,John Gatewood,"b. ~1655, England or Scotland","d. ~1707, VA",,,G3_MARGRAH_GGM,,https://www.wikitree.com/wiki/Gatewood-82,,
G3_MARGRAH_GGM,Amy Magrah?,3,Amy Magrah?,b. ~1660,"d. ~1745, VA",,,G3_GATEWOOD_GGF,,https://www.wikitree.com/wiki/Magrah-2,,
G3_REEVES_GGF,Henry Robert Reeves,3,Henry Robert Reeves,"b. ~1665, VA","d. ~1728, VA",G4_REEVES_GGGF,G4_BAGNALL_GGGM,G3_LEE_GGM,,https://www.wikitree.com/wiki/Reeves-5045,,
G3_LEE_GGM,Sarah Jane Lee,3,Sarah Jane Lee,"b. 1664, England","d. 1739, VA",,,G3_REEVES_GGF,,https://www.wikitree.com/wiki/Lee-34349,Sarah Jane is likely not the daughter of Richard Henry Lee as claimed in WikiTree,
G4_REEVES_GGGF,Henry Reeves,4,Henry Reeves,"b. ~1630, England","d. ~1687, VA",,,G4_BAGNALL_GGGM,,https://www.wikitree.com/wiki/Reeves-4192,,
G4_BAGNALL_GGGM,Elizabeth Bagnall,4,Elizabeth Bagnall,"b. ~1640, VA","d. ~1712, VA",G5_BAGNALL_GGGGF,G5_UNKNOWN_GGGGM,G4_REEVES_GGGF,,https://www.wikitree.com/wiki/Bagnall-468,,
G5_BAGNALL_GGGGF,Roger Bagnell,5,Roger Bagnell,"b. ~1610, England","d. 1647, VA",,,G5_UNKNOWN_GGGGM,m. ~1635,https://www.wikitree.com/wiki/Bagnall-131,,
G5_UNKNOWN_GGGGM,Rebecca,5,Rebecca,b. ,d. ,,,G5_BAGNALL_GGGGF,m. ~1635,https://www.wikitree.com/wiki/Bagnall-131,,
